Beteiligte;Objektbezeichnung;InvNr;Foto neu vorhanden?;Bild Nr neu;Bild bearbeitet?;Jahr_von;Jahr_bis;Datierung;Geogr_Bezug;Gattung;Maße;Material;Beschriftung;Verw_Institution;Sammlungsbereich;Akt_Standort;;Titel_Sammlung;Beschreibung_Notizen;unsere Notizen;OSM (Koordinaten);URL 1;URL 2;Foto von ;;;
Carl Friedrich Mylius;Stadttopographie;C07969;;;;1881;1890;1886;Frankfurt am Main-Altstadt, Fahrgasse;Fotografie;"Bildmaß: 23,6 x 18,3 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton";"auf Karton aufgezogen; Passepartout-Karton; Papier; Albuminabzug";"verso, unten rechts: ""Aufnahme und Geschenk von C. F. Mylius 1886."" (Bleistift, nicht die Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;;Fahrgasse, Häuserreihe gegenüber der alten Mehlwaage;"Die Fahrgasse war eine sehr belebte Wohn- und Geschäftsstraße, die von der Zeil über die Schnurgasse direkt zur Alten Brücke führte.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 52)



Die Geschäftswerbung von links nach rechts:

""Eisen
Stahl
Messing
Waaren
Ph. Manberger [sic]
Holz.Fournier
Handlung""

""Holz u. Fournier Handlung
Ph. Mannberger.""

""A. Haagner-Fuchs""

""Buchdruckerei & Verlag von Aug. Stritt""

""Buchdruckerei
von
Aug. Stritt
[...] Stock [...]""

""Stuttgarter Schuhlager
von
G. A. JENSEN-HUBER""

""Cigarren [...] C. F. Ebert [...]""";Mehlwaage Fahrgasse 19 ;50.11087,8.68712;https://de.wikipedia.org/wiki/Stadtwaage_(Frankfurt_am_Main)#/media/File:Frankfurt_Am_Main-Stadtwaage-Ravenstein1862.jpg;;;;;
Carl Friedrich Mylius;Stadttopographie;C07975;ja;;https://de.wikipedia.org/wiki/Kornmarkt_(Frankfurt_am_Main);1861;1870;1870;Frankfurt am Main-Altstadt, Großer Kornmarkt;Fotografie;"Bildmaß: 29,3 x 22,1 cm; Objektmaß: 53 x 36,5 cm";"auf Karton aufgezogen; Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Großer Kornmarkt mit Deutsch-Reformierter Kirche von Süden;"Die Deutsch-Reformierte Kirche wurde von der evangelischen Gemeinde als Saalkirche ohne Turm in der Straße Großer Kornmarkt in der westlichen Altstadt errichtet und 1793 eingeweiht.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 48)";"Foto zeigt u.a. dt.-ref.Kirche; 1944 zerstört";50.11077, 8.6795;https://de.wikipedia.org/wiki/Kornmarkt_(Frankfurt_am_Main);https://de.wikipedia.org/wiki/Deutsch-reformierte_Kirche_(Frankfurt_am_Main)#/media/File:Frankfurt_Altstadt-Position-Deutsch-Reformierte_Kirche.jpg;;;;
"Carl Friedrich Mylius; Rudolf Heinrich Burnitz, Entwurf; Oskar Sommer, Entwurf";Architektur, Stadttopographie;C07977;ja;;;1871;1880;04.03.1879;Frankfurt am Main-Innenstadt (Neue Börse);Fotografie;"Bildmaß: 22,2 x 28,7 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton";"Papier; auf Karton aufgezogen; Passepartout-Karton; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die neue Börse am Tag der Eröffnung;"Der großzügige Bau mit hoher Kuppel, errichtet nach den Plänen von Heinrich Burnitz, Oskar Sommer und Alexander Linnemann, ist ein markantes Zeichen für den Übergang der Stadt in die moderne Zeit.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 173, zu dem identischen Motiv C29333)";1944 bei Luftangriffen schwer beschädigt, s. C29333;50.11507,8.67768;;;Susanna Kexel;;;
Carl Friedrich Mylius;Dokumentarfotografie, Stadttopographie;C07985;;;;1881;1890;1884;Frankfurt am Main-Eckenheim, Hauptfriedhof (Grabmal Degen);Fotografie;"Bildmaß: 23,4 x 17,9 cm; Blattmaß: 52,9 x 36,5 cm";"Papier; auf Papier aufgezogen; Albuminabzug";"Die Beschriftungen auf dem Kaschierkarton ""C. F. Mylius"", ""Frankfurter Friedhof 1884."" und ""Fam. Degen"" (jeweils Bleistift) sind von drei unterschiedlichen Händen, jedoch keine Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Hauptfriedhof, Grabmal der Familie Degen auf dem Frankfurter Friedhof;"Nach auswärtigen Engagements war Degen 1855 nach Frankfurt zurückgekehrt, wo er über 20 Jahre festes Ensemblemitglied war und besonders durch seine Rollen in Stücken von Schiller und Kleist beliebt wurde.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 190)

Grabinschrift:
""Hier ruht in Gott
Conrad Degen
geb. 18. Octbr. 1811
gest. 11. Juni 1884
Gewidmet von seinen
Freunden und Verwandten""

Links daneben ist noch das Grabkreuz für ""Charlotte Grote geb. Schauber geb. 6. Juli 1830 gest. 14. Nov. 1884"" zu sehen.";nicht gefunden;;;;;;;
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Stadttopographie;C07987;;;;1871;1880;1872;Frankfurt am Main-Sachsenhausen, Hainerweg (Landhaus Bansa);Fotografie;"Bildmaß: 21,2 x 30,9 cm; Objektmaß: 36,2 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Landhaus Bansa, Sachsenhausen, Ecke Hainerweg, abgebrochen zwischen 1872 und 1874;"Das große Landgut wurde zwischen 1872 und 1874 niedergelegt und vorher von Mylius dokumentiert.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 233)

Hinten rechts Hinweisschilder:
""Nach dem Felsenkeller
Fless & Funck""
darüber:
""... [nicht lesbar]
CONCERT
und ... [nicht lesbar]""";zw. 1872 u.74 abgebrochen ;;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C07992;;;;1871;1880;1880;Frankfurt am Main-Gutleutviertel, Main-Neckar-Brücke;Fotografie;"Bildmaß: 17 x 30,1 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Papier aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Main-Neckar-Brücke im Bau;;;50.09582,8.65379;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C07993;;;;1871;1880;1880;Frankfurt am Main-Gutleutviertel, Main-Neckar-Brücke;Fotografie;"Bildmaß: 18 x 27,9 cm; Objektmaß: 36,4 x 53 cm";"Papier; auf Papier aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Main-Neckar-Brücke im Bau;;;;;;;;;
Carl Friedrich Mylius;Stadttopographie;C07998;;;;1870;1890;um 1880;Frankfurt am Main-Westend, Bockenheimer Landstraße (Gartenhaus Dörr/Berna-Brentano);Fotografie;"Bildmaß: 17,9 x 26,7 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Papier aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Gartenhaus Dörr, später Berna-Brentano, in der Bockenheimer Landstraße;"Das Gebäude wurde von Stadtbaumeister Johann Friedrich Christian Hess errichtet. Auch hier ist die Gartenseite mit Familienmitgliedern wiedergegeben. Das Haus wurde noch im selben Jahr abgerissen und durch einen Neubau ersetzt.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 215)

Sehr schön sind hier die verschiedenen Gardinenmuster zu erkennen.";;;;;;;;
"Carl Friedrich Mylius; Hermann Ritter";Stadttopographie;C09088;;;;1881;1890;1888;Frankfurt am Main-Innenstadt, Escherheimer Landstraße (Dr. Hoch'sches Konservatorium);Fotografie;"Bildmaß: 25,1 x 31,4 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton";"Papier; auf Karton aufgezogen; Passepartout-Karton; Albuminabzug";"auf der Fassade: ""MDCCCLXXVIII [1878] DR HOCH'S CONSERVATORIUM MDCCCLXXXVIII [1888]""";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;;Eschersheimer Landstraße, Dr. Hoch's Konservatorium (Straßenfassade) des Architekten Hermann Ritter;;1943 bei Luftangriff zerstört, heute: auf Trümmerfeld neu errichtet;50.11833,8.67915;https://de.wikipedia.org/wiki/Dr._Hoch%E2%80%99s_Konservatorium;;;;;
Carl Friedrich Mylius;Stadtansicht;C09193;ja;;;1861;1870;1869;Frankfurt am Main-Altstadt;Fotografie;"Bildmaß: 17,5 x 23,3 cm; Blattmaß: 18,6 x 23,9 cm; Objektmaß: 53 x 36,6 cm";"auf Karton aufgezogen; Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Ansicht des Mainufers, Tiefstand des Mains;;Eisener Steg mit Blick auf Dom St. Bartholomäus, links St. Leonhard;50.1066,8.6800;;;IMG_2693;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C09727;;;;1861;1871;vor 1871;Frankfurt am Main-Innenstadt, Rahmhof (Altes Zeughaus);Fotografie;"Bildmaß: 16,5 x 22,7 cm; Objektmaß: 36,4 x 52,9 cm";"Papier; Albuminabzug";"verso, unten (unter dem Stempel der Städtischen Sammlungen): ""aus d. AV[ligiert,=Alterthums-Verein] getilgt"" (blauer Stempel)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Das alte Zeughaus im Rahmhof vor dem Abbruch 1871;"Der Rahmhof war ein größerer Gebäudekomplex, der in den Jahren zwischen 1871 und 1874 nach und nach abgetragen wurde; auf diesem Gelände wurde die neue Börse erbaut.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 172)";"1871 abgebrochen; heute: Neue Börse ";50.11489,8.67803;;;;;;
Carl Friedrich Mylius;Stadttopographie;C09730;ja;;;1861;1870;1866;Frankfurt am Main-Innenstadt, Eschenheimer Gasse (Senckenbergisches Stiftsgebäude);Fotografie;"Bildmaß: 24,7 x 18,6 cm; Objektmaß: 36,3 x 52,8 cm zusammen mit C09731 auf einem Karton";"Papier; Albuminabzug";"verso, unten (unter dem Stempel der Städtischen Sammlungen): ""aus d. AV[ligiert,=Alterthums-Verein] getilgt"" (blauer Stempel)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Das alte Senckenbergische Haus in der Eschenheimergasse. Abgerissen. Ansicht von der Straße;"Das Gebäude wurd in diesem Jahr [1866] durch einen Neubau ersetzt und gehörte zu dem Gebäudekomplex der Senckenbergischen Stiftung, die auf den Franfurter Arzt Johann Christian Senckenberg zurückgeht. Die Stiftung unterhielt zwischen Stift- und Bleichstraße das Naturhistorische Museum, den Botanischen Garten und das Bürgerhospital.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 72)

Unter dem Straßenschild ""Stiftstraße"" das Schild
""P. Weisensee
Lohnkutscher
Equipages á louer
39""
An der Plakatwand ist außer ""Zoologischer Garten"" und ""Masken-Ball"" nichts zu entziffern.";s. Datensatz 13, Aufnahmeort Höhe Subway (direkt an der Ecke von Süden aus gesehen);50.11659,8.67965;https://de.wikipedia.org/wiki/Dr._Senckenbergische_Stiftung;;;;;
Carl Friedrich Mylius;Natur, Stadttopographie;C09731;;;;1861;1870;1866;Frankfurt am Main-Innenstadt, Eschenheimer Gasse (Senckenbergisches Stiftsgebäude);Fotografie;"Bildmaß: 25 x 19,9 cm; Objektmaß: 36,3 x 52,8 cm zusammen mit C09730 auf einem Karton";"Papier; Albuminabzug";"verso, unten (unter dem Stempel der Städtischen Sammlungen): ""aus d. AV[ligiert,=Alterthums-Verein] getilgt"" (blauer Stempel)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Das alte Senckenbergische Haus in der Eschenheimergasse. Abgerissen. Hintere Ansicht vom Botanischen Garten;"Die Aufnahme zeigt die Rückseite. Das große Haus rechts ist das Naturhistorische Museum, das 1820 nach Plänen des Stadtbaumeisters Johann Friedrich Christian Hess errichtet wurde und später ein weiteres Stockwerk erhielt, links die Rückseite des Bibliotheksgebäudes. Der Garten ist Teil des Botanischen Gartens der Stiftung.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 73)";Standort ehemaliges Bürgerhospital, jetzt Mainova Stiftstraße 30 oder gar 32.;50.11656,8.68105;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C10544,1;  ;;;1861;1870;1870;Frankfurt am Main-Bockenheim, Große Bockenheimer Straße, Hochstraße (Bockenheimer Tor);Fotografie;"Bildmaß: 21 x 28,9 cm; Blattmaß: 32,3 x 41,3 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Das Bockenheimer Tor mit Blick in die Hochstraße, im Vordergrund die Große Bockenheimer Straße;"Nach dem Schleifen der alten Stadtbefestigung erhielt auch das Bockenheimer Tor im Jahr 1809 neue Torhäuser im klassizistischen Stil (links), die bis 1834 nachts geschlossen wurden. Das kleine Gebäude rechts mit dem Uhrtürmchen war Verkaufsstelle für Theaterkarten und wurde später einer der ersten Kioske der Stadt. Rechts geht der Blick in die Hochstraße.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 177)


Blick in eine Gasse, rechts vorne das Torhäuschen mit einem Uhrturm (mit der Aufschrift ""BOCKENHEIMER THOR MDCCCIX [1809]""), davor ein Pferdewagen, links vorne ein Häuschen mit Säulen, davor einige Karren, in der Mitte des Bildes verläuft eine Mauer, die die Gasse vom Hof eines dreistöckigen Gebäudes trennt, im Vordergrund der Schatten eines Gebäudes auf dem Straßenpflaster.

Das Motiv könnte den Maler des Aquarells C35576 angeregt haben (gleicher Blickwinkel, Schattenwurf und Uhrzeit sowie Einzelmotive wie das Pferd mit Wagen rechts oder die beiden Einzler links).";"1875 niedergelegt; Mainzer Tor ";50.11491,8.67273;http://www.altfrankfurt.com/Tore/BockenheimerTor/;;;;;
Carl Friedrich Mylius;Stadttopographie;C10833;;;;1861;1870;Mai 1866;Frankfurt am Main-Sachsenhausen, Schaumainkai 10;Architekturfotografie;"Bildmaß: 18,1 x 25,2 cm; Objektmaß: 36,5 x 53 cm";"Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Haus Schaumainkai 10 in Sachsenhausen;Vierstöckiges Haus mit je 9 Fenstern in jedem Stockwerk zum Main hin, rechts daneben zwei kleinere Gebäude, am Mainufer einige Holzschuppen, im Main liegt ein Frachtkahn mit hohem Mast;abgerissen, Koordinaten von Standpunkt Fotograf aus gesehen (auf der Brücke Eiserner Steg). ;50.10836,8.68205;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C11972;;; ;1860;1880;um 1870;Frankfurt am Main-Altstadt, Große Fischergasse;Architekturfotografie;"Bildmaß: 26,7 x 19,6 cm; Blattmaß: 34,6 x 25,5 cm; Objektmaß: 53,1 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;"Ansicht der Fischergasse mit Heisterhaus und dem Gasthaus ""Stadt Darmstadt"", oben im Fenster ein Portrait von Lorenz Heister";"Der Gasthof befand sich in der Großen Fischergasse zwischen Dom und Mainufer. In unmittelbarer Nähe stand die malerische Häusergruppe ""Am Roseneck"", die links noch teilweise zu sehen ist.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 147)


Die Eigenart der beiden Häuser ist, dass sie nach oben breiter werden, rechts das Gasthaus ist ein schiefwinkeliges dreistöckiges Haus mit ausgebautem spitzen Dach, vor der Eingangstür vier Stufen, das linke Haus ist oben eineinhalb Mal breiter als unten, ab der zweiten Verbreiterung sind die Wände mit Schieferschindeln gedeckt, der Giebel hat barocke Form, im Vordergrund die gepflasterte Gasse.
Interessant ist das ins Fenster des rechten Hauses, 3. Stock, rechtes Fenster, gestellte Portraitgemälde, womit eine holländische Tradition aus dem 17. Jahrhundert aufgegriffen wird. Darunter eine zweizeilige Schrifttafel:
""Hier ist am 19. December [sic] 1683 geboren Lorenz Heister Naturforscher der Anatomie und Chirurgie Lehrer"". (Lorenz Heister, *19. September 1683, + 18. April 1758)


Am linken Haus das Schild ""Georg Leschhorn Herren[...]schneiderei"".

Am Gasthaus:

""WEINHANDLUNG
I. G. STRAUSS""

""GASTHAUS
STADT DARMSTADT""

""RESTAURATION
TABLE D'HOTE""";1944 zerstört;50.11014,8.68617;;;;;;
Carl Friedrich Mylius;Architektur, Interieur, Stadttopographie;C11973;;;;1855;1875;um 1865;Frankfurt am Main-Innenstadt, Goetheplatz (Französisch-Reformierte Kirche);Architekturfotografie;"Bildmaß: 22,6 x 16,8 cm; Blattmaß: 29 x 21,4 cm; Objektmaß: 53,1 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Kanzel in der französisch-reformierten Kirche am Goetheplatz;"Unterhalb der Kanzel befindet sich der Abendmahlstisch. Auch von diesem Motiv sind mehrere Varianten bekannt. Im Gottesdienst und in den Gemeindeveranstaltungen wurde bis 1916 französisch gesprochen.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 161)


Von je zwei Säulen aus Buntsandstein gerahmt sieht man die ebenfalls steinerne Kanzel auf einer Säule, darüber ein verzierter Sims mit einer hellen Kuppel, vor dem Altar sieht man drei Reihen hölzerne Kirchenbänke";Kirche 1944 zerstört;50.11330,8.67608;https://de.wikipedia.org/wiki/Französisch-reformierte_Kirche_(Frankfurt_am_Main);;;;;
Carl Friedrich Mylius;Architektur, Natur, Stadttopographie;C11974;;;;1860;1880;um 1870;Frankfurt am Main-Westend, Guiollettstraße oder Mainzer Landstraße;Architekturfotografie;"Bildmaß: 23 x 27,8 cm oval; Blattmaß: 25,9 x 32,1 cm rechteckig; Objektmaß: 36,5 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"verso, unten: ""Haus Taunus Anlage - Guiollett Str. 1 Eigentümer Nestle Gontard Wwe. Erben"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Villa Koch - Gontard, Mainzer Landstraße 28, Ecke Zimmerweg, Garten;"Die Aufnahme zeigt ebenfalls die Gartenseite. In dieser Straße wohnten ursprünglich Familien des gehobenen Bürgertums, später siedelten sich im Rahmen der Industrialisierung immer mehr Gewerbebetriebe an.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 221)


weißes zweigeschossiges Haus mit ausgebautem Dach, einige Stufen führen hinunter in den Garten auf einen Rasen, man erkennt drei Kinder und eine Frau vor zwei offen stehenden Türen, an den Bildrändern Büsche und Bäume";;;;;;;;
Carl Friedrich Mylius;Architektur, Dokumentarfotografie, Stadttopographie;C11975;ja;;;1880;1900;um 1890;Frankfurt am Main-Eckenheim, Hauptfriedhof (Grabmal Familie Gontard);Architekturfotografie;"Bildmaß: 23,8 x 17,4 cm; Blattmaß: 30 x 22 cm; Objektmaß: 53 x 36,4 cm";"auf Karton aufgezogen; Albuminabzug; Papier";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Grabdenkmal der Familie Gontard, ausgeführt von Eduard Schmidt von der Launitz, Hauptfriedhof;"Das Grabdenkmal der Frankfurter Bankiersfamilie schuf der Bildhauer Eduard Schmidt von der Launitz, von dem zahlreiche weitere Grabmäler stammen. Mylius photographierte viele von ihnen.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 191)


Hoher Grabstein in einer Mauernische mit der Aufschrift: Grab der Familie Gontard, darauf steht die Skulptur eines Engels mit großen Flügeln, der mit der rechten Hand nach oben  zeigt, vor dem hellen Grabstein steht eine Reihe von Topfpflanzen, Efeu rankt links und rechts an der Nische empor

Inschrift auf dem Grabstein oben:
""GRUFT DER FAMILIE L [oder I] GONTARD"" B GRUFT 44";https://de.wikipedia.org/wiki/Liste_der_Gräber_bekannter_Persönlichkeiten_auf_dem_Hauptfriedhof_Frankfurt#/media/File:Fhfh_plan_ea_2012_06.png;;;;IMG_2721;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C12066;;;;1861;1870;1865;Frankfurt am Main-Westend, Hochstraße (Geisow'sches Knabeninstitut);Architekturfotografie;"Bildmaß: 26,3 x 20,2 cm; Blattmaß: 30,9 x 22,7 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten rechts, unter Signatur: ""Aufgenommen Anno 1865."" (braune Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Geisow´sches Knabeninstitut in der Hochstraße, Hinterfassaden von der Promenade aus gesehen;"Das Institut - hier vom Garten aus gesehen - war eine private ""Erziehungsanstalt für männliche Zöglinge"". Frankfurt hatte zu dieser Zeit nur drei städtische Gymnasien. Da dieses Angebot nicht ausreichte und manche Eltern Vorbehalte gegenüber dem öffentlichen Schulwesen hatten, etablierte sich eine Reihe von Knaben- und Mädcheninstituten.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 213)


Blick von einem erhöhten Standpunkt aus in zwei von einem Zaun getrennte Gärten mit Bäumen und auf die hinteren Fassaden drei - bis vierstöckiger Häuser, davor - zum Garten hin  - niedrigere Gebäude";;;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C12197;ja;;;1860;1880;um 1870;Frankfurt am Main-Altstadt (Stadtwaage);Architekturfotografie;"Bildmaß: 30,2 x 23,9 cm; Blattmaß: 33,3 x 26 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Alte Stadtwaage vor dem Abbruch;"Das spätgotische Gebäude diente als städtische Waage und Fruchtspeicher; es wurde Anfang 1874 wegen Baufälligkeit niedergelegt. Im Hintergrund der eingerüstete Domturm. Der bevorstehende Abriss wurde öffentlich bekannt gemacht, so daß Mylius das Bauwerk noch für die Nachwelt festhalten konnte.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 148)

Steinhaus mit hohem Treppengiebel, Südseite, das Mauerwerk ist beschädigt, etwa in der Mitte des Gebäudes im rechten Winkel dazu befinden sich sehr niedrige Häuser, ein Pferdewagen und Karren stehen davor, hinter dem Dach mit den drei Gaubenreihen ein eingerüsteter Kirchturm";"1874 abgebrochen; neben Leinwandhaus; heute: Wohn- und Geschäftsgebäude ";50.11003,8.68617;https://de.wikipedia.org/wiki/Stadtwaage_(Frankfurt_am_Main);https://de.wikipedia.org/wiki/Stadtwaage_(Frankfurt_am_Main);;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C13304;;;;1870;1890;um 1880;Frankfurt am Main-Oberrad (Gerbermühle);Architekturfotografie;"Bildmaß: 22 x 28,3 cm; Objektmaß: 53,1 x 36,4 cm";"Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Die Gerbermühle vor der Wiederherstellung;"Der Bankier Johann Jakob Willemer pachtete die ursprüngliche Getreidemühle als Sommersitz, auf dem sich 1815 die Romanze zwischen Goethe und Marianne von Willemer abspielte. Danach verfiel sie unter anderen Besitzern zunehmend, wurde von der Stadt erworben und nach der Renovierung 1904 mit Unterbrechungen als Ausflugslokal genutzt.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 236)


Zwischen hohen Baumgruppen steht ein schadhafter Gebäudekomplex ohne Fensterglas, z.T. sind Fensterrahmen ausgehängt oder Fensterhöhlen mit Brettern vernagelt, eine Leiter, die bis ins obere Stockwerk reicht, lehnt an der rechten Hauswand, das Gelände ist eingezäunt, im Vordergrund ein Feld mit niedrigem Bewuchs (Unkraut)";vor der Wiederherstellung;50.10599,8.72138;https://de.wikipedia.org/wiki/Gerbermühle;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C15348;;;;1870;1890;um 1880;Frankfurt am Main-Westend, Taunusplatz (Haus Brentano);Architekturfotografie;"Bildmaß: 30,9 x 23,4 cm; Blattmaß: 32,5 x 24,4 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Haus Brentano am Taunusplatz, Entwurf von Ballenberger;"Der Taunusplatz lag zwischen Taunusanlage und Weserstraße und wurde später bebaut.
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 223)


Zweistöckiges einzeln stehendes Gebäude mit einem Fassadenschmuck aus angedeuteten Säulen, 4 gothischen Fenstern in Höhe des zweiten Stockwerks, dazwischen eine Frauenskulptur mit Kind, auf Höhe des ersten Stockes drei Fenster, auf jeder Seite davon eine männliche Figur, von der Straße her führen einige Stufen zur Haustür, die Ecken des Hauses sind mit Erkern und Türmen geschmückt, links Buschwerk, rechts ein breites Gartentor.
Auf der Wetterfahne ganz oben rechts ist ein Maler vor seiner Staffelei dargestellt.";;;;;;;;
Carl Friedrich Mylius;Stadtansicht, Stadttopographie;C15491;;;;1861;1870;1862;Frankfurt am Main-Altstadt;Fotografie;"Bildmaß: 21,6 x 28,5 cm die linke Fotografie, Breite variiert um ca. 0,3 mm (unten breiter); Bildmaß: 21,6 x 29,1 cm die rechte Fotografie, Breite variiert um ca. 0,3 mm (oben breiter); Bildmaß: 21,6 x 57,4 cm die zusammengesetzte Fotografie; Blattmaß: 22";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;;Blick auf die Alte Brücke von Südosten, im Hintergrund der Dom, zweiteilige zusammengesetzte Fotografie;;"Blick auf Alte Brücke; andere Mainseite";50.1073,8.6893;;;;;;
Carl Friedrich Mylius;Architektur, Stadttopographie;C17720;ja;;;1861;1870;1864;Frankfurt am Main-Altstadt, Römerberg (Haus zum Römer, Haus Limpurg);Architekturfotografie;"Bildmaß: 26,8 x 19,1 cm; Blattmaß: 39,7 x 31,6 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton";"auf Karton aufgezogen; Papier; Passepartout-Karton; Albuminabzug";"recto, unten mitte, auf Original-Unterkarton: ""Haus Limpurg. Sitz der Ganerben."" (braune Tinte)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;;Das Cronstetten'sche Stift, Haus zum Römer und Haus Limpurg, Sitz der Ganerben;"Links das Haus Limpurg, rechts Römer, Teil des Römerberges mit abgedecktem Justicia-Brunnen, Pferde mit Kutschen, Handwagen.

Links Hinweis auf ein ""Waaren Lager""";;50.11018,8.68175;https://de.wikipedia.org/wiki/Haus_zum_R%C3%B6mer;;;;;
