Beteiligte;Titel_Sammlung;Objektbezeichnung;InvNr;Jahr_von;Jahr_bis;Datierung;Gattung;Geogr_Bezug;Maße;Material;Beschriftung;Verw_Institution;Sammlungsbereich;Akt_Standort;Beschreibung_Notizen
Carl Friedrich Mylius;"Großer Hirschgraben 3, Haus ""Weißer Hirsch"", Eingangsportal, niedergelegt 1872";Stadttopographie;C22599;1871;1880;1872;Fotografie;"Frankfurt am Main-Altstadt, Großer Hirschgraben 3 (""Weißer Hirsch"")";"Bildmaß: 23,7 x 17,8 cm; Blattmaß: 24,6 x 18,7 cm; Objektmaß: 53,2 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten links: "" 'Zum weißen Hirsch' "" (Bleistift, in Anführungszeichen)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Haus im Großen Hirschgraben wurde im gleichen Jahr [1872] abgebrochen und von Mylius vorher noch photographisch festgehalten. Rechts neben dem Eingang ein diese Jahre kennzeichnendes Auswanderungsbüro [""Concessionirtes Auswanderungs=Bureau von Heinrich Bernhard""]_x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 50)_x000D_
_x000D_
_x000D_
Die Geschäftswerbungen:_x000D_
_x000D_
""[Fa]brik & Lager_x000D_
von_x000D_
[k]=Ornamenten_x000D_
für_x000D_
[AR]CHITEKTUR & KUNST_x000D_
Zink=Bedachungen""_x000D_
_x000D_
""Camoxxi & [nicht lesbar]""_x000D_
_x000D_
""PATENTIERTE_x000D_
Metall=Dichtungen_x000D_
für_x000D_
Stopfbüchsen von Dampfmaschinen_x000D_
PUMPEN, HYDRAULISCHE PRESSEN etc:_x000D_
Besorgung von Patenten""_x000D_
_x000D_
""Concessionirtes_x000D_
Auswanderungs=Bureau_x000D_
von_x000D_
Heinrich Bernhard""_x000D_
_x000D_
""Schiffs-Gelegenheiten_x000D_
nach_x000D_
Amerika_x000D_
und Australien."""
Carl Friedrich Mylius;Großer Kornmarkt mit Deutsch-Reformierter Kirche von Süden;Stadttopographie;C07975;1861;1870;1870;Fotografie;Frankfurt am Main-Altstadt, Großer Kornmarkt;"Bildmaß: 29,3 x 22,1 cm; Objektmaß: 53 x 36,5 cm";"auf Karton aufgezogen; Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Deutsch-Reformierte Kirche wurde von der evangelischen Gemeinde als Saalkirche ohne Turm in der Straße Großer Kornmarkt in der westlichen Altstadt errichtet und 1793 eingeweiht._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 48)"
Carl Friedrich Mylius;Die Judengasse nach der Niederlegung der westlichen Häuserreihe;Architektur, Stadttopographie;C02749;1861;1870;1870;Architekturfotografie;Frankfurt am Main-Altstadt, Judengasse;"Bildmaß: 21,1 x 28,2 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton";"auf Karton aufgezogen; Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Gebäude der westlichen Seite wurden 1874 vollständig abgerissen, die östliche Seite bis auf einige Ausnahmen1885. Die Hauptsynagoge links war 1860 am alten Ort neu errichtet und von Mylius für die Leipziger Illustrierte Zeitung photographiert worden._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 54, zu dem identischen Motiv in Privatbesitz)_x000D_
_x000D_
Ganz unten links ist ein kleines Schild mit ""Zoologischer Garten"" (Rest nicht entzifferbar)"
Carl Friedrich Mylius;Kanalarbeiten in der Judengasse;Dokumentarfotografie, Stadttopographie;C22587;1881;1890;1884;Fotografie;Frankfurt am Main-Altstadt, Judengasse;"Bildmaß: 21,9 x 28,1 cm; Blattmaß: 22,8 x 28,8 cm; Objektmaß: 36,5 x 52,9 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten rechts: ""1884"" (schwarze Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Fremdenspital der israelischen Gemeinde in der Judengasse;Stadttopographie;Ph00040;1855;1875;um 1865;Fotografie;Frankfurt am Main-Altstadt, Judengasse (Fremdenspital);"Bildmaß: 23,1 x 23,1 cm; Objektmaß: 53 x 36,2 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Fremdenhospital für Auswärtige und Bedürftige war neben dem Hospital für einheimische Juden und dem sogenannten Blatternhaus eines von drei Krankenhäusern der jüdischen Gemeinde. Es befand sich am südlichen Ende der Judengasse am damaligen jüdischen Friedhof. 1882 wurde es für den Bau der neuen Synagoge am Börneplatz abgebrochen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 151)_x000D_
_x000D_
Am Gebäude ganz links zweimal, rechts und links neben der Eingangstür, das Schild:_x000D_
_x000D_
""Geld Vorschüsse auf_x000D_
Waaren aller Art so wie_x000D_
auf Juwelen, Gold, Silber,_x000D_
Uhren, Werthpapiere,_x000D_
Pfandscheine. etc._x000D_
Einkauf gegen Rückkauf_x000D_
im_x000D_
Waaren-Commissions_x000D_
Geschäft_x000D_
von_x000D_
B. Strohecker."""
Carl Friedrich Mylius;Blick in die Judengasse, Rothschild’sches Stammhaus vor dem Umbau;Architektur, Stadttopographie;Ph00053;1870;1890;um 1880;Fotografie;Frankfurt am Main-Altstadt, Judengasse (Rothschildhaus);"Bildmaß: 24,6 x 19,7 cm; Objektmaß: 53 x 36,3 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Geschäfte von links nach rechts:_x000D_
_x000D_
""An & Verkauf_x000D_
[...]_x000D_
SCHUHWAAREN_x000D_
und_x000D_
KLEIDERN_x000D_
[]_x000D_
[...] Dillenberger_x000D_
[...]""_x000D_
_x000D_
""Leger neuer u. getragener_x000D_
Stiefel, Kleider etc._x000D_
[...]. Dillenberger.""_x000D_
_x000D_
""Schuh & Stiefel_x000D_
von_x000D_
ADAM REITZ"""
Carl Friedrich Mylius;Blick auf die Katharinenpforte;Stadttopographie;C04363;1861;1870;April 1865;Fotografie;Frankfurt am Main-Altstadt, Katharinenpforte;"Bildmaß: 23,3 x 17,7 cm; Objektmaß: 52,7 x 36,3 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"verso auf der Fotografie, unten, spiegelverkehrt durchscheinend, schwach erkennbar, runder Stempel mit Stadtadler und Umschrift: ""STADT BIBLIOTHEK FRANKFURT A. M."" (blauer Stempel), vergleiche C04354";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Katharinenpforte verband die Altstadt mit der im Hintergrund sichtbaren Hauptwache. Der Name leitet sich von der Katharinenkirche ab, die sich am nordöstlichen Ende befindet. Bis zur Stadterweiterung im 14. Jahrhundert befand sich hier in der ursprünglichen staufischen Stadtmauer einer der Zugänge zur Stadt._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 143)_x000D_
_x000D_
_x000D_
linker Bildrand: Hinweis auf_x000D_
""MAISON_x000D_
DE_x000D_
CONFECTI[ON]_x000D_
Katharinen[...]_x000D_
N. 1""_x000D_
_x000D_
rechts das Geschäft von_x000D_
""F. Fischer."""
Carl Friedrich Mylius;Altes Allerheiligentor, Lange Straße, Außenseite;Stadttopographie;C22571;1871;1880;April 1872;Fotografie;Frankfurt am Main-Altstadt, Lange Straße (Allerheiligentor);"Bildmaß: 28,8 x 21,1 cm; Blattmaß: 29,9 x 22 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten mitte: ""Altes Allerheiligen Thor"" (schwarze Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Nordseite des Liebfrauenbergs nach der Bleiden- und Liebfrauenstraße zu gesehen, mit Haus Malakoff;Architektur, Stadttopographie;C30056;1871;1880;1875-1880;Fotografie;Frankfurt am Main-Altstadt, Liebfrauenberg (Haus Malakoff);"Bildmaß: 30 x 24 cm; Blattmaß: 34,4 x 27,9 cm; Objektmaß: 53,2 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug; getont?";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Fassadenwerbung von rechts nach links:_x000D_
_x000D_
""GEBRÜDER HOFF""_x000D_
_x000D_
Straßenschild um die Ecke: ""Liebfrau[enstrasse]"", darunter die Hausnummer ""35""_x000D_
_x000D_
""Joseph Milani.""_x000D_
_x000D_
""Chocolade=Fabrik_x000D_
Gebrüder de Giorgi""_x000D_
_x000D_
""J. N. Graeffendeich_x000D_
Nachfolger""_x000D_
_x000D_
""H. BUSECK.""_x000D_
_x000D_
Am Eckhaus Malakoff dreimal ""HERRENKLEIDER.MAGAZIN"",_x000D_
dazu das Straßenschild ""Liebfrauenstrasse."",_x000D_
daneben, auf Fenster unter Markise ""Liebfrauenstrass[sic] 1"",_x000D_
_x000D_
ganz rechts Straßenschild ""Liebfrauenberg"""
Carl Friedrich Mylius;Liebfrauenkirche von Süden mit dem Liebfrauenberg-Brunnen;Stadttopographie;Ph19784;1861;1870;1869;Fotografie;Frankfurt am Main-Altstadt, Liebfrauenberg, (Liebfrauenkirche, Liebfrauenberg-Brunnen);"Bildmaß: 22,8 x 16,9 cm; Blattmaß: 31,6 x 23,6 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten links: ""2.50"" (Bleistift; Preis?)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Mylius hat diese Aufnahme unmittelbar nach der Renovierung des Brunnens gemacht, dessen Obelisk aus dem 18. Jahrhundert stammt._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 46)_x000D_
_x000D_
Geschäftsschilder:_x000D_
links: ""Magnus Cristiani Op[durch Laterne verdeckt]us""_x000D_
darunter: ""Magnus Cristiani Augen-Klinik""_x000D_
rechts: ""Haupt=Siederlage der Tabaks=Fabrick Franz Bolongaro"""
Carl Friedrich Mylius;Liebfrauenkirche, Blick zum Chor;Interieur, Stadttopographie;Ph02571;1864;1884;um 1874;Fotografie;Frankfurt am Main-Altstadt, Liebfrauenstraße (Liebfrauenkirche);"Bildmaß: 22,9 x 18,1 cm; Blattmaß: 29,6 x 23 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Der Blick führt aus dem dreischiffigen Inneren in den einschiffigen Chor, rechts der Johannes-Altar._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 144)"
Carl Friedrich Mylius;Mainuferansicht der Frankfurter Seite, Mainkai, im Hintergrund Turm der Paulskirche;Stadtansicht, Stadttopographie;Ph00135;1850;1870;um 1860;Fotografie;Frankfurt am Main-Altstadt, Mainkai;"Bildmaß: 17,8 x 25,6 cm; Objektmaß: 26,3 x 36,1 cm";"Papier; kaschiert auf textiles Gewebe (Shirting); Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Dieser Teil des Mainkais war um 1860 noch nicht vollständig im klassizistischen Stil bebaut, sondern weist noch zahlreiche ältere, spitzgiebelige oder unsyymetriche Häuser auf. Der Durchlass in der Mitte, genannt ""Holzpförtchen"", führte zur Alten Mainzer Gasse._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 97, zu dem identischen Motiv in Privatbesitz)_x000D_
_x000D_
Der Bildausschnitt zeigt in der Mitte das stattliche Anwesen der Willemers, das vom Mainkai bis zur Mainzer Gasse reichte_x000D_
(Holger Wilhelm, Gegen die Angst [...]. Zuwanderung und Fremde in der Stadtgeschichte von Frankfurt am Main, Frankfurt am Main 2016, S. 127 unten [gezeigt wird nur das rechte Drittel der Fotografie])_x000D_
_x000D_
In der Bildmitte das Haus des_x000D_
""A[...?]. Bauer Schieferdecker"",_x000D_
daneben der_x000D_
""Zähringer Hof."",_x000D_
ganz rechts ein Schild der_x000D_
""Strumpf-Waaren-Fabrik_x000D_
Z.[?] Schnapper[?]"""
Carl Friedrich Mylius;Neue Kräme, Geschäftshaus der Firma Heinrich Wilhelm Schmidt mit dem Eckhaus, abgerissen 1861 und durch einen Neubau ersetzt;Stadttopographie;C04365;1851;1861;vor 1861;Fotografie;Frankfurt am Main-Altstadt, Neue Kräme;"Bildmaß: 22,9 x 16,9 cm; Objektmaß: 52,9 x 36,2 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"verso auf der Fotografie, unten, spiegelverkehrt durchscheinend, schwach erkennbar, runder Stempel mit Stadtadler und Umschrift: ""STADT BIBLIOTHEK FRANKFURT A. M."" (blauer Stempel), vergleiche C04354";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Eckhaus des Tee-Händlers Heinrich Wilhelm Schmidt wurde 1862 abgerissen, das Nachbargebäude rechts ist bereits niedergelegt. An dieser Stelle trafen zwei der wichtigsten Verkehrswege der Altstadt aufeinander._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 142)_x000D_
_x000D_
Die Geschäfte:_x000D_
Tuchlager von C. Heinemann und_x000D_
Waaren(sic) Lager von Heinrich Wilhelm Schmidt"
Carl Friedrich Mylius;Die Reichsbank in der Neuen Mainzer Straße 72;Stadttopographie;C03417;1871;1880;1875/1876;Fotografie;Frankfurt am Main-Altstadt, Neue Mainzer Straße 72 (Reichsbank);"Bildmaß: 23,4 x 30,1 cm; Objektmaß: 36,4 x 52,8 cm Passepartout-Karton";"Passepartout-Karton; Papier; Albuminabzug";"recto, unter Foto: ""C. F. Mylius photogr. 1875/76. Die Reichsbank. gebaut von Baurath Lange. Trat in Wirksamkeit 1876. 1 Jan."" (schwarze Tinte, wahrscheinlich Vermerk des Schenkers, Ferdinand Prestel, zum Teil vorher in Bleistift geschrieben und ausradiert)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;
Carl Friedrich Mylius;Westseite des Römerbergs;Stadttopographie;C07960;1861;1870;1867;Fotografie;Frankfurt am Main-Altstadt, Römerberg;"Bildmaß: 24 x 29,4 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Neubau, Ebene 1, Altstadtdrama;"Die Geschäfte von links nach rechts (vergleiche auch C07961):_x000D_
_x000D_
Theater & Markengarderobe_x000D_
[Inhabername nicht lesbar]_x000D_
Restauration_x000D_
[nicht lesbar] Eisenberg_x000D_
_x000D_
ZUM ALTEN STRAHLENBERG_x000D_
Färb-Drucke & Fein Wascherei [sic]_x000D_
GEORG KLEIN_x000D_
_x000D_
Möbel-Lager von F. Lauenstein_x000D_
_x000D_
Buchdruckerei_x000D_
_x000D_
F. Lauenstein_x000D_
_x000D_
[nicht lesbar]sken Garderobe_x000D_
Friedr. Löw 1. Stock_x000D_
Trinkstube zum alten Limpurg"
Carl Friedrich Mylius;Das von Cronstett'sche Stift vor dem Umbau 1864, Sitz der Ganerben: das Haus Limpurg, Kaisertreppe;Architektur, Stadttopographie;Ph19741,14;1861;1870;1864;Fotografie;Frankfurt am Main-Altstadt, Römerberg (Haus Limpurg);"Bildmaß: 23 x 15,1 cm variiert in der Höhe von 22,6 bis 23 cm; Blattmaß: 39,7 x 32,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten mitte: ""Kaisertreppe"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Das Cronstetten'sche Stift, Haus zum Römer und Haus Limpurg, Sitz der Ganerben;Architektur, Stadttopographie;C17720;1861;1870;1864;Architekturfotografie;Frankfurt am Main-Altstadt, Römerberg (Haus zum Römer, Haus Limpurg);"Bildmaß: 26,8 x 19,1 cm; Blattmaß: 39,7 x 31,6 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton";"auf Karton aufgezogen; Papier; Passepartout-Karton; Albuminabzug";"recto, unten mitte, auf Original-Unterkarton: ""Haus Limpurg. Sitz der Ganerben."" (braune Tinte)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"Links das Haus Limpurg, rechts Römer, Teil des Römerberges mit abgedecktem Justicia-Brunnen, Pferde mit Kutschen, Handwagen._x000D_
_x000D_
Links Hinweis auf ein ""Waaren Lager"""
Carl Friedrich Mylius;Der Justitiabrunnen auf dem Römerberg von Norden;Architektur, Stadttopographie;C04792d;1855;1875;um 1865;Fotografie;Frankfurt am Main-Altstadt, Römerberg (Justitiabrunnen);"Bildmaß: 29 x 21,8 cm; Blattmaß: 31,5 x 24,4 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Reliefs zeigen antike und christliche Tugenden, dem Betrachter halb zugewandt ist die Justitia. Im Hintergrund die Nikolaikirche._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 203)"
Carl Friedrich Mylius;"Römerberg, Eingang zum Alten Markt mit Haus ""Großer Engel""";Stadttopographie;C04358;1851;1860;1859;Fotografie;Frankfurt am Main-Altstadt, Römerberg, Alter Markt;"Bildmaß: 26,3 x 20,8 cm; Objektmaß: 53 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"verso auf der Fotografie, unten, spiegelverkehrt durchscheinend, runder Stempel mit Stadtadler und Umschrift: ""STADT BIBLIOTHEK FRANKFURT A. M."" (blauer Stempel), vergleiche C04354";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Neubau, Ebene 1, Altstadtdrama;"mit der Samen-Handlung (Sämereien) von Deumer und Wirth, C. Stumpf Pfefferkorn Nachfolger (lesbar auf kleinem Schild unten links am Haus ""Großer Engel"")."
"Carl Friedrich Mylius, Originalfotografie 1860; Rapp (Gustav & Co), Neuabzug; Rudolf Burnitz, Entwurf; Johann Friedrich Christian Hess, Entwurf";Mainuferansicht der Frankfurter Seite, mitte Villa Schlosser von Johann Friedrich Christian Hess, rechts Haupthaus des Hauses Burnitz von Rudolf Burnitz;Stadtansicht, Stadttopographie;C18979m;1901;1910;"1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin)";Fotografie;Frankfurt am Main-Altstadt, Untermainkai;Bildmaß: 17,2 x 24,7 cm;"kaschiert auf textiles Gewebe (Shirting); Papier; Silbergelatineabzug";"verso, unten mitte: ""12."" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)"
"Carl Friedrich Mylius, Originalfotografie 1860; Rapp (Gustav & Co), Neuabzug; Rudolf Burnitz, Entwurf";Mainuferansicht der Frankfurter Seite, links Nebengebäude des Hauses Burnitz von Rudolf Burnitz, rechts der Zollhof;Stadtansicht, Stadttopographie;C18979n;1901;1910;"1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin)";Fotografie;Frankfurt am Main-Altstadt, Untermainkai;Bildmaß: 17,9 x 24,3 cm;"kaschiert auf textiles Gewebe (Shirting); Papier; Silbergelatineabzug";"verso, unten mitte: ""13"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Der Zollhof wurde 1844 fertiggestellt und war ein einfach gehaltenes Spätwerk des Stadtbaumeisters Johann Friedrich Christian Hess._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 94, zu der Originalfotografie in Privatbesitz)"
Carl Friedrich Mylius;Rothschild-Haus, Untermainkai 14, Empfangsraum;Interieur, Stadttopographie;C29315;1870;1890;um 1880;Fotografie;Frankfurt am Main-Altstadt, Untermainkai 14 (Rothschild-Haus);"Bildmaß: 26,7 x 22,6 cm; Blattmaß: 32,4 x 27,4 cm; Objektmaß: 53,1 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Diese Aufnahme dokumentiert den Einrichtungsstil im gehobenen Bürgertum Frankfurts. Das Palais wurde 1820 am damals neu bebauten Untermainkai errichtet. Eigentümer war ursprünglich der Bankier Johann Isaak Speyer; Mayer Carl von Rothschild kaufte es von dessen Witwe und erweiterte es großzügig._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 206)"
Carl Friedrich Mylius;Stadtwaage und Leinwandhaus am Weckmarkt;Architektur, Stadttopographie;C19974;1871;1880;1873;Archäologische Fotografie, Architekturfotografie;Frankfurt am Main-Altstadt, Weckmarkt (Stadtwaage, Leinwandhaus);"Bildmaß: 16,1 x 20,7 cm; Objektmaß: 53 x 36,4 cm zusammen mit C25518 auf einem Karton";"Papier; kaschiert auf textiles Gewebe (shirting); Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Im Leinwandhaus wurde ursprünglich der Leinwandhandel betrieben; zur Zeit von Mylius wurde es als Schwurgericht, später als Teil des städtischen Museum genutzt. Die alte Stadtwaage linke daneben wurde 1874 niedergelegt, der Neubau beherbergte das Stadtarchiv._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 51)_x000D_
_x000D_
Sandsteingebäude mit Schieferdächern, das rechte Gebäude hat Ecktürmchen außerhalb des Daches, an der Längsseite des Hauses gibt es drei Tore, über den Toren befinden sich 7 Fenster. Die Mauern sind durch Steinbögen verziert, das linke Gebäude steht mit dem Giebel zur Straße, ist dreigeschossig, hat  zwei Tore, im Vordergrund Straße mit Kopfsteinpflaster"
Carl Friedrich Mylius;Das Salzhaus mit dem Eingang in die alte Wedelgasse;Stadttopographie;C04357;1851;1860;1860;Fotografie;Frankfurt am Main-Altstadt, Wedelgasse, Salzhaus;"Bildmaß: 31 x 24 cm; Objektmaß: 53,2 x 36,5 cm";"Papier; Bleistift (Nachzeichnungen im Bereich der Dächer); Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Neubau, Ebene 1, Altstadtdrama;"Das Haus ganz links hat die Hausnummer ""25""_x000D_
_x000D_
Das Salzhaus hat die Hausnummer ""27"", dazu die Beschriftung_x000D_
""H. Schaus""_x000D_
_x000D_
Das Haus neben dem Salzhaus hat die Geschäftswerbung:_x000D_
""Zum_x000D_
Wedel""_x000D_
_x000D_
""C. WEIMAR. I. EBERBACH. BARUCH ELSAS""_x000D_
_x000D_
Am Haus ganz rechts ist schwach lesbar:_x000D_
""G. W. Büstner[?]"""
Carl Friedrich Mylius;Parade zum Empfang König Humberts I. von Italien im Mai 1889 vor dem Hauptbahnhof;Fotografie;C19972;1881;1890;Mai 1889;Dokumentarfotografie, Stadttopographie;Frankfurt am Main-Bahnhofsviertel, Hauptbahnhof;"Bildmaß: 15,8 x 21,8 cm; Blattmaß: 36,5 x 53 cm Passepartout-Karton";"Papier; kaschiert auf textiles Gewebe (shirting); Passepartout-Karton; Fotografie (Albuminabzug); Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"Offenbar bewusst hat Mylius das Ereignis im Mai 1889 aus größerer Entfernung aufgenommen, um einen Gesamtüberblick zu geben, aber sicherlich auch um Unschärfen durch die Bewegung der Soldaten und Zuschauer abzuschwächen. Im Hintergrund der im August 1888 neu eröffnete Hauptbahnhof._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 278)_x000D_
_x000D_
Die gleiche Ansicht 2016: siehe Multimedia"
"Carl Friedrich Mylius, Originalfotografie 1860; Rapp (Gustav & Co), Neuabzug; Rudolf Burnitz, Entwurf";Mainuferansicht der Frankfurter Seite, links Villa Manskopf von Rudolf Burnitz, rechts Villa Gontard (de Bary);Stadtansicht, Stadttopographie;C18979d;1901;1910;"1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin)";Fotografie;Frankfurt am Main-Bahnhofsviertel, Untermainkai;"Bildmaß: 16 x 24 cm; Objektmaß: 72,9 x 54,5 cm zusammen mit C18979a - C18979f auf einem Karton";"Papier; Silbergelatineabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Im Haus links wohnte der Weinhändler Jakob Philipp Manskopf, im Haus rechts Henry de Bary-Gontard, Teilhaber des Bankhauses Gontard & Co._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 85, zu der Originalfotografie in Privatbesitz)"
